Tier,Country,Federation,PledgeType,PledgeUnit,ALICE,ATLAS,CMS,LHCb
Tier 1,Taiwan,TW-ASGC,CPU,HEP-SPEC06,,20639,,
Tier 1,Taiwan,TW-ASGC,Disk,Tbytes,,2700,,
Tier 1,Taiwan,TW-ASGC,Tape,Tbytes,,4000,,
Tier 1,UK,UK-T1-RAL,CPU,HEP-SPEC06,2400,56250,24000,35400
Tier 1,UK,UK-T1-RAL,Disk,Tbytes,356,4500,2080,3510
Tier 1,UK,UK-T1-RAL,Tape,Tbytes,204,8125,5920,7110
Tier 1,USA,US-FNAL-CMS,CPU,HEP-SPEC06,,,120000,
Tier 1,USA,US-FNAL-CMS,Disk,Tbytes,,,10400,
Tier 1,USA,US-FNAL-CMS,Tape,Tbytes,,,29600,
Tier 1,USA,US-T1-BNL,CPU,HEP-SPEC06,,110000,,
Tier 1,USA,US-T1-BNL,Disk,Tbytes,,8500,,
Tier 1,USA,US-T1-BNL,Tape,Tbytes,,15000,,
Tier 2,Australia,University of Melbourne,CPU,HEP-SPEC06,,10700,,
Tier 2,Australia,University of Melbourne,Disk,Tbytes,,900,,
Tier 2,Austria,Austrian Tier-2 Federation,CPU,HEP-SPEC06,,1857,5000,
Tier 2,Austria,Austrian Tier-2 Federation,Disk,Tbytes,,120,500,
Tier 2,Belgium,Belgian Tier-2 Federation,CPU,HEP-SPEC06,,,23100,
Tier 2,Belgium,Belgian Tier-2 Federation,Disk,Tbytes,,,2450,
Tier 2,Brazil,"SPRACE, Sao Paulo",CPU,HEP-SPEC06,,,15000,
Tier 2,Brazil,"SPRACE, Sao Paulo",Disk,Tbytes,,,1331,
Tier 2,Canada,Canada-East Federation,CPU,HEP-SPEC06,,13250,,
Tier 2,Canada,Canada-East Federation,Disk,Tbytes,,1375,,
Tier 2,Canada,Canada-West Federation,CPU,HEP-SPEC06,,13250,,
Tier 2,Canada,Canada-West Federation,Disk,Tbytes,,1375,,
Tier 2,China,"IHEP, Beijing",CPU,HEP-SPEC06,,5780,5780,
Tier 2,China,"IHEP, Beijing",Disk,Tbytes,,320,380,
Tier 2,Czech Republic,"FZU AS, Prague",CPU,HEP-SPEC06,3500,13000,,
Tier 2,Czech Republic,"FZU AS, Prague",Disk,Tbytes,1030,1600,,
Tier 2,Estonia,"NICPB, Tallinn",CPU,HEP-SPEC06,,,45000,
Tier 2,Estonia,"NICPB, Tallinn",Disk,Tbytes,,,1000,
Tier 2,Finland,NDGF/HIP Tier2,CPU,HEP-SPEC06,,,8000,
Tier 2,Finland,NDGF/HIP Tier2,Disk,Tbytes,,,630,
Tier 2,France,CC-IN2P3 AF,CPU,HEP-SPEC06,0,9750,7650,0
Tier 2,France,CC-IN2P3 AF,Disk,Tbytes,0,1310,510,
Tier 2,France,"CPPM, Marseille",CPU,HEP-SPEC06,,4014,,2000
Tier 2,France,"CPPM, Marseille",Disk,Tbytes,,600,,100
Tier 2,France,"GRIF, Paris",CPU,HEP-SPEC06,6120,17680,14850,4909
Tier 2,France,"GRIF, Paris",Disk,Tbytes,676,1768,861,300
Tier 2,France,"IPHC, Strasbourg",CPU,HEP-SPEC06,3500,,11500,
Tier 2,France,"IPHC, Strasbourg",Disk,Tbytes,220,,670,
Tier 2,France,"LAPP, Annecy",CPU,HEP-SPEC06,,11000,,4000
Tier 2,France,"LAPP, Annecy",Disk,Tbytes,,1200,,2
Tier 2,France,"LPC, Clermont-Ferrand",CPU,HEP-SPEC06,4430,8356,,2014
Tier 2,France,"LPC, Clermont-Ferrand",Disk,Tbytes,178,718,,2
Tier 2,France,LPSC Grenoble,CPU,HEP-SPEC06,2611,6567,,
Tier 2,France,LPSC Grenoble,Disk,Tbytes,296,669,,
Tier 2,France,"SUBATECH, Nantes",CPU,HEP-SPEC06,3000,,,
Tier 2,France,"SUBATECH, Nantes",Disk,Tbytes,310,,,
Tier 2,Germany,ATLAS Federation DESY,CPU,HEP-SPEC06,,20700,,
Tier 2,Germany,ATLAS Federation DESY,Disk,Tbytes,,1770,,
Tier 2,Germany,ATLAS Federation FR/W,CPU,HEP-SPEC06,,9720,,
Tier 2,Germany,ATLAS Federation FR/W,Disk,Tbytes,,1117,,
Tier 2,Germany,"ATLAS Federation, HH/Goe",CPU,HEP-SPEC06,,4860,,
Tier 2,Germany,"ATLAS Federation, HH/Goe",Disk,Tbytes,,667,,
Tier 2,Germany,"ATLAS Federation, Munich",CPU,HEP-SPEC06,,13693,,
Tier 2,Germany,"ATLAS Federation, Munich",Disk,Tbytes,,1584,,
Tier 2,Germany,CMS Federation DESY RWTH Aachen,CPU,HEP-SPEC06,,,36413,
Tier 2,Germany,CMS Federation DESY RWTH Aachen,Disk,Tbytes,,,2265,
Tier 2,Germany,"GSI, Darmstadt",CPU,HEP-SPEC06,13400,,,
Tier 2,Germany,"GSI, Darmstadt",Disk,Tbytes,1000,,,
Tier 2,Germany,LHCb Federation DESY,CPU,HEP-SPEC06,,,,3400
Tier 2,Germany,LHCb Federation DESY,Disk,Tbytes,,,,4
Tier 2,Greece,"GRID LAB, KAVALA Institute of Technology",CPU,HEP-SPEC06,,1126,246,
Tier 2,Greece,"GRID LAB, KAVALA Institute of Technology",Disk,Tbytes,,275,55,
Tier 2,Greece,"HEP Laboratory, University of Ioannina",CPU,HEP-SPEC06,,,1870,
Tier 2,Greece,"HEP Laboratory, University of Ioannina",Disk,Tbytes,,,200,
Tier 2,Hungary,HGCC Federation,CPU,HEP-SPEC06,1600,,4800,
Tier 2,Hungary,HGCC Federation,Disk,Tbytes,120,,260,
Tier 2,India,"TIFR, Mumbai",CPU,HEP-SPEC06,,,6150,
Tier 2,India,"TIFR, Mumbai",Disk,Tbytes,,,940,
Tier 2,India,"VECC/SINP, Kolkata",CPU,HEP-SPEC06,15000,,,
Tier 2,India,"VECC/SINP, Kolkata",Disk,Tbytes,240,,,
Tier 2,Israel,IL-HEP Tier-2 Federation,CPU,HEP-SPEC06,,7000,,
Tier 2,Israel,IL-HEP Tier-2 Federation,Disk,Tbytes,,1060,,
Tier 2,Italy,INFN T2 Federation,CPU,HEP-SPEC06,38600,46800,65000,7875
Tier 2,Italy,INFN T2 Federation,Disk,Tbytes,4381,3710,3770,0
Tier 2,Japan,"ICEPP, Tokyo",CPU,HEP-SPEC06,,24000,,
Tier 2,Japan,"ICEPP, Tokyo",Disk,Tbytes,,2400,,
Tier 2,Latin America,Latin America Federation,CPU,HEP-SPEC06,8711,7840,20000,3183
Tier 2,Latin America,Latin America Federation,Disk,Tbytes,900,296,1026,300
Tier 2,Malaysia,University of Malaya,CPU,HEP-SPEC06,,,30000,
Tier 2,Malaysia,University of Malaya,Disk,Tbytes,,,300,
Tier 2,Mexico,UNAM,CPU,HEP-SPEC06,4900,,,
Tier 2,Mexico,UNAM,Disk,Tbytes,570,,,
Tier 2,Norway,UNINETT SIGMA Tier-2,CPU,HEP-SPEC06,,,,
Tier 2,Norway,UNINETT SIGMA Tier-2,Disk,Tbytes,,,,
Tier 2,Pakistan,Pakistan ALICE Federation,CPU,HEP-SPEC06,2000,,,
Tier 2,Pakistan,Pakistan ALICE Federation,Disk,Tbytes,250,,,
Tier 2,Pakistan,Pakistan Tier-2 Federation,CPU,HEP-SPEC06,,,6365,
Tier 2,Pakistan,Pakistan Tier-2 Federation,Disk,Tbytes,,,330,
Tier 2,Poland,Polish Tier-2 Federation,CPU,HEP-SPEC06,4800,6700,5800,3500
Tier 2,Poland,Polish Tier-2 Federation,Disk,Tbytes,330,460,320,
Tier 2,Portugal,LIP Tier-2 Federation,CPU,HEP-SPEC06,,3000,3000,
Tier 2,Portugal,LIP Tier-2 Federation,Disk,Tbytes,,190,170,
Tier 2,Republic of Korea,"CHEP of KNU, Daegu",CPU,HEP-SPEC06,,,8900,
Tier 2,Republic of Korea,"CHEP of KNU, Daegu",Disk,Tbytes,,,707,
Tier 2,Romania,Romanian Tier-2 Federation,CPU,HEP-SPEC06,17000,19700,,4900
Tier 2,Romania,Romanian Tier-2 Federation,Disk,Tbytes,1280,1087,0,323
Tier 2,Russian Federation,Russian Data-Intensive GRID,CPU,HEP-SPEC06,22151,31207,28983,1539
Tier 2,Russian Federation,Russian Data-Intensive GRID,Disk,Tbytes,1663,2323,2336,80
Tier 2,Slovakia,Slovak Tier2 Federation,CPU,HEP-SPEC06,5200,5200,,
Tier 2,Slovakia,Slovak Tier2 Federation,Disk,Tbytes,320,300,,
Tier 2,Slovenia,SiGNET,CPU,HEP-SPEC06,,20000,,
Tier 2,Slovenia,SiGNET,Disk,Tbytes,,1500,,
Tier 2,South Africa,CHPC Tier2,CPU,HEP-SPEC06,6000,,,
Tier 2,South Africa,CHPC Tier2,Disk,Tbytes,100,,,
Tier 2,Spain,ATLAS Federation,CPU,HEP-SPEC06,,26100,,
Tier 2,Spain,ATLAS Federation,Disk,Tbytes,,3250,,
Tier 2,Spain,CMS Federation,CPU,HEP-SPEC06,,,25000,
Tier 2,Spain,CMS Federation,Disk,Tbytes,,,1500,
Tier 2,Spain,LHCb Federation,CPU,HEP-SPEC06,,,,3000
Tier 2,Spain,LHCb Federation,Disk,Tbytes,,,,1
Tier 2,Sweden,SNIC Tier-2,CPU,HEP-SPEC06,2820,5050,,
Tier 2,Sweden,SNIC Tier-2,Disk,Tbytes,400,520,,
Tier 2,Switzerland,CHIPP,CPU,HEP-SPEC06,,29000,14000,7000
Tier 2,Switzerland,CHIPP,Disk,Tbytes,,1225,875,250
Tier 2,Taiwan,Taiwan Analysis Facility Federation,CPU,HEP-SPEC06,,3654,,
Tier 2,Taiwan,Taiwan Analysis Facility Federation,Disk,Tbytes,,455,,
Tier 2,Thailand,National e-Science Infrastructure Consortium,CPU,HEP-SPEC06,2300,,3000,
Tier 2,Thailand,National e-Science Infrastructure Consortium,Disk,Tbytes,200,,200,
Tier 2,Turkey,Turkish Tier-2 Federation,CPU,HEP-SPEC06,,5100,4700,
Tier 2,Turkey,Turkish Tier-2 Federation,Disk,Tbytes,,550,350,
Tier 2,UK,London Tier 2,CPU,HEP-SPEC06,,13998,17645,2837
Tier 2,UK,London Tier 2,Disk,Tbytes,,1427,1023,1
Tier 2,UK,NorthGrid,CPU,HEP-SPEC06,,18387,,5932
Tier 2,UK,NorthGrid,Disk,Tbytes,,1874,,300
Tier 2,UK,ScotGrid,CPU,HEP-SPEC06,,10899,,1724
Tier 2,UK,ScotGrid,Disk,Tbytes,,1111,,1
Tier 2,UK,SouthGrid,CPU,HEP-SPEC06,4000,8715,7355,3368
Tier 2,UK,SouthGrid,Disk,Tbytes,454,888,427,300
Tier 2,USA,Caltech CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,Caltech CMS T2,Disk,Tbytes,,,1040,
Tier 2,USA,Florida CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,Florida CMS T2,Disk,Tbytes,,,1040,
Tier 2,USA,Great Lakes ATLAS T2,CPU,HEP-SPEC06,,22000,,
Tier 2,USA,Great Lakes ATLAS T2,Disk,Tbytes,,2400,,
Tier 2,USA,LBNL ALICE Berkeley CA,CPU,HEP-SPEC06,8000,,,
Tier 2,USA,LBNL ALICE Berkeley CA,Disk,Tbytes,1050,,,
Tier 2,USA,"LLNL ALICE, Livermore CA",CPU,HEP-SPEC06,11500,,,
Tier 2,USA,"LLNL ALICE, Livermore CA",Disk,Tbytes,650,,,
Tier 2,USA,MIT CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,MIT CMS T2,Disk,Tbytes,,,1040,
Tier 2,USA,Midwest ATLAS T2,CPU,HEP-SPEC06,,33000,,
Tier 2,USA,Midwest ATLAS T2,Disk,Tbytes,,3600,,
Tier 2,USA,Nebraska CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,Nebraska CMS T2,Disk,Tbytes,,,1040,
Tier 2,USA,Northeast ATLAS T2,CPU,HEP-SPEC06,,22000,,
Tier 2,USA,Northeast ATLAS T2,Disk,Tbytes,,2400,,
Tier 2,USA,Purdue CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,Purdue CMS T2,Disk,Tbytes,,,1040,
Tier 2,USA,SLAC ATLAS T2,CPU,HEP-SPEC06,,22000,,
Tier 2,USA,SLAC ATLAS T2,Disk,Tbytes,,2400,,
Tier 2,USA,Southwest ATLAS T2,CPU,HEP-SPEC06,,22000,,
Tier 2,USA,Southwest ATLAS T2,Disk,Tbytes,,2400,,
Tier 2,USA,U. Wisconsin CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,U. Wisconsin CMS T2,Disk,Tbytes,,,1040,
Tier 2,USA,UC San Diego CMS T2,CPU,HEP-SPEC06,,,18000,
Tier 2,USA,UC San Diego CMS T2,Disk,Tbytes,,,1040,
Tier 2,Ukraine,Ukrainian Tier-2 Federation,CPU,HEP-SPEC06,3000,,7500,
Tier 2,Ukraine,Ukrainian Tier-2 Federation,Disk,Tbytes,200,,650,
