Tier,Country,Federation,PledgeType,PledgeUnit,ALICE,ATLAS,CMS,LHCb
Tier 2,Taiwan,Taiwan CMS Federation,Disk,Tbytes,,,384,
Tier 2,Thailand,National e-Science Infrastructure Consortium,CPU,HEP-SPEC06,1400,,4700,
Tier 2,Thailand,National e-Science Infrastructure Consortium,Disk,Tbytes,100,,300,
Tier 2,Turkey,Turkish Tier-2 Federation,CPU,HEP-SPEC06,,5100,4700,
Tier 2,Turkey,Turkish Tier-2 Federation,Disk,Tbytes,,550,350,
Tier 2,UK,London Tier 2,CPU,HEP-SPEC06,0,15305,24710,2273
Tier 2,UK,London Tier 2,Disk,Tbytes,0,1949,1341,300
Tier 2,UK,NorthGrid,CPU,HEP-SPEC06,0,20038,0,7577
Tier 2,UK,NorthGrid,Disk,Tbytes,0,2552,0,300
Tier 2,UK,ScotGrid,CPU,HEP-SPEC06,0,11620,0,1903
Tier 2,UK,ScotGrid,Disk,Tbytes,0,1480,0,1
Tier 2,UK,SouthGrid,CPU,HEP-SPEC06,4740,9637,10290,6727
Tier 2,UK,SouthGrid,Disk,Tbytes,522,1227,559,300
Tier 2,USA,Caltech CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,Caltech CMS T2,Disk,Tbytes,,,1360,
Tier 2,USA,Florida CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,Florida CMS T2,Disk,Tbytes,,,1360,
Tier 2,USA,Great Lakes ATLAS T2,CPU,HEP-SPEC06,,24000,,
Tier 2,USA,Great Lakes ATLAS T2,Disk,Tbytes,,3000,,
Tier 2,USA,LBNL ALICE Berkeley CA,CPU,HEP-SPEC06,12000,,,
Tier 2,USA,LBNL ALICE Berkeley CA,Disk,Tbytes,1000,,,
Tier 2,USA,MIT CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,MIT CMS T2,Disk,Tbytes,,,1360,
Tier 2,USA,Midwest ATLAS T2,CPU,HEP-SPEC06,,36000,,
Tier 2,USA,Midwest ATLAS T2,Disk,Tbytes,,4500,,
Tier 2,USA,Nebraska CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,Nebraska CMS T2,Disk,Tbytes,,,1360,
Tier 2,USA,Northeast ATLAS T2,CPU,HEP-SPEC06,,24000,,
Tier 2,USA,Northeast ATLAS T2,Disk,Tbytes,,3000,,
Tier 2,USA,Purdue CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,Purdue CMS T2,Disk,Tbytes,,,1360,
Tier 2,USA,SLAC ATLAS T2,CPU,HEP-SPEC06,,24000,,
Tier 2,USA,SLAC ATLAS T2,Disk,Tbytes,,3000,,
Tier 2,USA,Southwest ATLAS T2,CPU,HEP-SPEC06,,24000,,
Tier 2,USA,Southwest ATLAS T2,Disk,Tbytes,,3000,,
Tier 2,USA,U. Wisconsin CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,U. Wisconsin CMS T2,Disk,Tbytes,,,1360,
Tier 2,USA,UC San Diego CMS T2,CPU,HEP-SPEC06,,,25000,
Tier 2,USA,UC San Diego CMS T2,Disk,Tbytes,,,1360,
Tier 2,Ukraine,Ukrainian Tier-2 Federation,CPU,HEP-SPEC06,3000,,7500,
Tier 2,Ukraine,Ukrainian Tier-2 Federation,Disk,Tbytes,200,,650,
